study_accession	sample_accession	secondary_sample_accession	run_accession	sample_title
PRJEB13747	SAMEA3944016	ERS1131150	ERR1383914	Plate41.9
PRJEB13747	SAMEA3943990	ERS1131124	ERR1383915	Plate41.50
PRJEB13747	SAMEA3944217	ERS1131351	ERR1383916	Low1.30
PRJEB13747	SAMEA3944682	ERS1131816	ERR1383917	Plate15.91
PRJEB13747	SAMEA3945639	ERS1132773	ERR1383918	Plate29.48
PRJEB13747	SAMEA3943315	ERS1130449	ERR1383919	Plate36.66
PRJEB13747	SAMEA3944485	ERS1131619	ERR1383920	Plate12.74
PRJEB13747	SAMEA3944353	ERS1131487	ERR1383921	Plate10.84
PRJEB13747	SAMEA3945052	ERS1132186	ERR1383922	Plate21.77
PRJEB13747	SAMEA3944721	ERS1131855	ERR1383923	Plate16.27
PRJEB13747	SAMEA3945813	ERS1132947	ERR1383924	Plate31.48
PRJEB13747	SAMEA3945598	ERS1132732	ERR1383925	Plate28.13
PRJEB13747	SAMEA3945357	ERS1132491	ERR1383926	Plate25.63
PRJEB13747	SAMEA3943260	ERS1130394	ERR1383927	Plate36.67
PRJEB13747	SAMEA3944819	ERS1131953	ERR1383928	Plate17.87
PRJEB13747	SAMEA3944939	ERS1132073	ERR1383929	Plate19.61
PRJEB13747	SAMEA3943420	ERS1130554	ERR1383930	Plate40.68
PRJEB13747	SAMEA3944294	ERS1131428	ERR1383931	Low2.47
PRJEB13747	SAMEA3945593	ERS1132727	ERR1383932	Plate28.94
PRJEB13747	SAMEA3943998	ERS1131132	ERR1383933	Plate41.5
PRJEB13747	SAMEA3943670	ERS1130804	ERR1383934	Plate46.13
PRJEB13747	SAMEA3943912	ERS1131046	ERR1383935	Plate39.83
PRJEB13747	SAMEA3946234	ERS1133368	ERR1383936	Plate8.40
PRJEB13747	SAMEA3944462	ERS1131596	ERR1383937	Plate12.78
PRJEB13747	SAMEA3943925	ERS1131059	ERR1383938	Plate39.89
PRJEB13747	SAMEA3944240	ERS1131374	ERR1383939	Low1.91
PRJEB13747	SAMEA3945083	ERS1132217	ERR1383940	Plate21.46
PRJEB13747	SAMEA3946389	ERS1133523	ERR1383941	PlateRedo3.11
PRJEB13747	SAMEA3944624	ERS1131758	ERR1383942	Plate14.13
PRJEB13747	SAMEA3945728	ERS1132862	ERR1383943	Plate30.56
PRJEB13747	SAMEA3943724	ERS1130858	ERR1383944	Plate46.62
PRJEB13747	SAMEA3944613	ERS1131747	ERR1383945	Plate14.2
PRJEB13747	SAMEA3943224	ERS1130358	ERR1383946	Plate35.66
PRJEB13747	SAMEA3944390	ERS1131524	ERR1383947	Plate10.78
PRJEB13747	SAMEA3943298	ERS1130432	ERR1383948	Plate36.12
PRJEB13747	SAMEA3944889	ERS1132023	ERR1383949	Plate18.86
PRJEB13747	SAMEA3943192	ERS1130326	ERR1383950	Plate35.47
PRJEB13747	SAMEA3945399	ERS1132533	ERR1383951	Plate25.44
PRJEB13747	SAMEA3944018	ERS1131152	ERR1383952	Plate41.4
PRJEB13747	SAMEA3944838	ERS1131972	ERR1383953	Plate17.52
PRJEB13747	SAMEA3943197	ERS1130331	ERR1383954	Plate35.31
PRJEB13747	SAMEA3943948	ERS1131082	ERR1383955	Plate39.63
PRJEB13747	SAMEA3943816	ERS1130950	ERR1383956	Plate38.11
PRJEB13747	SAMEA3944396	ERS1131530	ERR1383957	Plate10.83
PRJEB13747	SAMEA3943631	ERS1130765	ERR1383958	Plate45.69
PRJEB13747	SAMEA3943654	ERS1130788	ERR1383959	Plate45.43
PRJEB13747	SAMEA3945881	ERS1133015	ERR1383960	Plate32.59
PRJEB13747	SAMEA3943267	ERS1130401	ERR1383961	Plate36.64
PRJEB13747	SAMEA3944313	ERS1131447	ERR1383962	Low2.27
PRJEB13747	SAMEA3944350	ERS1131484	ERR1383963	Plate10.65
PRJEB13747	SAMEA3943304	ERS1130438	ERR1383964	Plate36.87
PRJEB13747	SAMEA3944569	ERS1131703	ERR1383965	Plate13.85
PRJEB13747	SAMEA3945126	ERS1132260	ERR1383966	Plate22.74
PRJEB13747	SAMEA3945163	ERS1132297	ERR1383967	Plate22.91
PRJEB13747	SAMEA3946058	ERS1133192	ERR1383968	Plate5.67
PRJEB13747	SAMEA3944543	ERS1131677	ERR1383969	Plate13.46
PRJEB13747	SAMEA3944329	ERS1131463	ERR1383970	Low2.77
PRJEB13747	SAMEA3945345	ERS1132479	ERR1383971	Plate25.36
PRJEB13747	SAMEA3944796	ERS1131930	ERR1383972	Plate17.41
PRJEB13747	SAMEA3945245	ERS1132379	ERR1383973	Plate23.30
PRJEB13747	SAMEA3945367	ERS1132501	ERR1383974	Plate25.57
PRJEB13747	SAMEA3944307	ERS1131441	ERR1383975	Low2.19
PRJEB13747	SAMEA3943150	ERS1130284	ERR1383976	Plate34.2.1
PRJEB13747	SAMEA3944408	ERS1131542	ERR1383977	Plate10.41
PRJEB13747	SAMEA3945944	ERS1133078	ERR1383978	Plate33.4
PRJEB13747	SAMEA3943988	ERS1131122	ERR1383979	Plate41.54
PRJEB13747	SAMEA3943817	ERS1130951	ERR1383980	Plate38.87
PRJEB13747	SAMEA3944262	ERS1131396	ERR1383981	Low1.6
PRJEB13747	SAMEA3943243	ERS1130377	ERR1383982	Plate35.25
PRJEB13747	SAMEA3943348	ERS1130482	ERR1383983	Plate37.61
PRJEB13747	SAMEA3944053	ERS1131187	ERR1383984	Plate43.16
PRJEB13747	SAMEA3943968	ERS1131102	ERR1383985	Plate41.56
PRJEB13747	SAMEA3946331	ERS1133465	ERR1383986	Plate9.57
PRJEB13747	SAMEA3945308	ERS1132442	ERR1383987	Plate24.13
PRJEB13747	SAMEA3944676	ERS1131810	ERR1383988	Plate15.17
PRJEB13747	SAMEA3944783	ERS1131917	ERR1383989	Plate16.13
PRJEB13747	SAMEA3943318	ERS1130452	ERR1383990	Plate36.71
PRJEB13747	SAMEA3945249	ERS1132383	ERR1383991	Plate24.51
PRJEB13747	SAMEA3945520	ERS1132654	ERR1383992	Plate27.11
PRJEB13747	SAMEA3943480	ERS1130614	ERR1383993	Plate42.21
PRJEB13747	SAMEA3944194	ERS1131328	ERR1383994	High2.66
PRJEB13747	SAMEA3945519	ERS1132653	ERR1383995	Plate27.54
PRJEB13747	SAMEA3945342	ERS1132476	ERR1383996	Plate25.3
PRJEB13747	SAMEA3943514	ERS1130648	ERR1383997	Plate42.27
PRJEB13747	SAMEA3945323	ERS1132457	ERR1383998	Plate25.80
PRJEB13747	SAMEA3945864	ERS1132998	ERR1383999	Plate32.67
PRJEB13747	SAMEA3944171	ERS1131305	ERR1384000	High2.3
PRJEB13747	SAMEA3945997	ERS1133131	ERR1384001	Plate5.2
PRJEB13747	SAMEA3943377	ERS1130511	ERR1384002	Plate37.83
PRJEB13747	SAMEA3945573	ERS1132707	ERR1384003	Plate28.79
PRJEB13747	SAMEA3945104	ERS1132238	ERR1384004	Plate21.79
PRJEB13747	SAMEA3943771	ERS1130905	ERR1384005	Plate47.65
PRJEB13747	SAMEA3945723	ERS1132857	ERR1384006	Plate30.90
PRJEB13747	SAMEA3943759	ERS1130893	ERR1384007	Plate47.25
PRJEB13747	SAMEA3943656	ERS1130790	ERR1384008	Plate45.3
PRJEB13747	SAMEA3943436	ERS1130570	ERR1384009	Plate40.49
PRJEB13747	SAMEA3943121	ERS1130255	ERR1384010	Plate34.2.15
PRJEB13747	SAMEA3943145	ERS1130279	ERR1384011	Plate34.2.62
PRJEB13747	SAMEA3943248	ERS1130382	ERR1384012	Plate35.37
PRJEB13747	SAMEA3944344	ERS1131478	ERR1384013	Low2.61
PRJEB13747	SAMEA3944577	ERS1131711	ERR1384014	Plate14.65
PRJEB13747	SAMEA3944880	ERS1132014	ERR1384015	Plate18.6
PRJEB13747	SAMEA3946349	ERS1133483	ERR1384016	PlateRedo1.71
PRJEB13747	SAMEA3945302	ERS1132436	ERR1384017	Plate24.49
PRJEB13747	SAMEA3944906	ERS1132040	ERR1384018	Plate18.92
PRJEB13747	SAMEA3944074	ERS1131208	ERR1384019	High1.9
PRJEB13747	SAMEA3944142	ERS1131276	ERR1384020	High2.64
PRJEB13747	SAMEA3944476	ERS1131610	ERR1384021	Plate12.34
PRJEB13747	SAMEA3944362	ERS1131496	ERR1384022	Plate10.82
PRJEB13747	SAMEA3945152	ERS1132286	ERR1384023	Plate22.44
PRJEB13747	SAMEA3945338	ERS1132472	ERR1384024	Plate25.42
PRJEB13747	SAMEA3943627	ERS1130761	ERR1384025	Plate45.80
PRJEB13747	SAMEA3943528	ERS1130662	ERR1384026	Plate42.6
PRJEB13747	SAMEA3943833	ERS1130967	ERR1384027	Plate38.83
PRJEB13747	SAMEA3943210	ERS1130344	ERR1384028	Plate35.82
PRJEB13747	SAMEA3943596	ERS1130730	ERR1384029	Plate45.89
PRJEB13747	SAMEA3943477	ERS1130611	ERR1384030	Plate42.32
PRJEB13747	SAMEA3943776	ERS1130910	ERR1384031	Plate47.37
PRJEB13747	SAMEA3944272	ERS1131406	ERR1384032	Low2.89
PRJEB13747	SAMEA3944963	ERS1132097	ERR1384033	Plate19.89
PRJEB13747	SAMEA3943955	ERS1131089	ERR1384034	Plate39.45
PRJEB13747	SAMEA3943683	ERS1130817	ERR1384035	Plate46.90
PRJEB13747	SAMEA3944051	ERS1131185	ERR1384036	Plate43.49
PRJEB13747	SAMEA3944973	ERS1132107	ERR1384037	Plate20.9
PRJEB13747	SAMEA3943165	ERS1130299	ERR1384038	Plate34.2.38
PRJEB13747	SAMEA3945826	ERS1132960	ERR1384039	Plate31.85
PRJEB13747	SAMEA3943180	ERS1130314	ERR1384040	Plate34.2.35
PRJEB13747	SAMEA3945401	ERS1132535	ERR1384041	Plate26.52
PRJEB13747	SAMEA3945112	ERS1132246	ERR1384042	Plate21.32
PRJEB13747	SAMEA3944199	ERS1131333	ERR1384043	Low1.76
PRJEB13747	SAMEA3944988	ERS1132122	ERR1384044	Plate20.66
PRJEB13747	SAMEA3944100	ERS1131234	ERR1384045	High1.1
PRJEB13747	SAMEA3946395	ERS1133529	ERR1384046	PlateRedo3.3
PRJEB13747	SAMEA3944104	ERS1131238	ERR1384047	High1.67
PRJEB13747	SAMEA3944407	ERS1131541	ERR1384048	Plate10.81
PRJEB13747	SAMEA3944620	ERS1131754	ERR1384049	Plate14.14
PRJEB13747	SAMEA3944563	ERS1131697	ERR1384050	Plate13.83
PRJEB13747	SAMEA3944835	ERS1131969	ERR1384051	Plate17.81
PRJEB13747	SAMEA3944293	ERS1131427	ERR1384052	Low2.2
PRJEB13747	SAMEA3944702	ERS1131836	ERR1384053	Plate15.32
PRJEB13747	SAMEA3944852	ERS1131986	ERR1384054	Plate17.37
PRJEB13747	SAMEA3944492	ERS1131626	ERR1384055	Plate12.87
PRJEB13747	SAMEA3943709	ERS1130843	ERR1384056	Plate46.36
PRJEB13747	SAMEA3943469	ERS1130603	ERR1384057	Plate40.3
PRJEB13747	SAMEA3946190	ERS1133324	ERR1384058	Plate7.55
PRJEB13747	SAMEA3944599	ERS1131733	ERR1384059	Plate14.28
PRJEB13747	SAMEA3945337	ERS1132471	ERR1384060	Plate25.70
PRJEB13747	SAMEA3945799	ERS1132933	ERR1384061	Plate31.4
PRJEB13747	SAMEA3944490	ERS1131624	ERR1384062	Plate12.60
PRJEB13747	SAMEA3946144	ERS1133278	ERR1384063	Plate6.43
PRJEB13747	SAMEA3943671	ERS1130805	ERR1384064	Plate46.2
PRJEB13747	SAMEA3944983	ERS1132117	ERR1384065	Plate20.89
PRJEB13747	SAMEA3943791	ERS1130925	ERR1384066	Plate47.10
PRJEB13747	SAMEA3945311	ERS1132445	ERR1384067	Plate24.52
PRJEB13747	SAMEA3944952	ERS1132086	ERR1384068	Plate19.64
PRJEB13747	SAMEA3945913	ERS1133047	ERR1384069	Plate33.28
PRJEB13747	SAMEA3946277	ERS1133411	ERR1384070	Plate8.16
PRJEB13747	SAMEA3945641	ERS1132775	ERR1384071	Plate29.20
PRJEB13747	SAMEA3943155	ERS1130289	ERR1384072	Plate34.2.81
PRJEB13747	SAMEA3943706	ERS1130840	ERR1384073	Plate46.81
PRJEB13747	SAMEA3945421	ERS1132555	ERR1384074	Plate26.25
PRJEB13747	SAMEA3946310	ERS1133444	ERR1384075	Plate9.15
PRJEB13747	SAMEA3945607	ERS1132741	ERR1384076	Plate29.72
PRJEB13747	SAMEA3944227	ERS1131361	ERR1384077	Low1.10
PRJEB13747	SAMEA3944602	ERS1131736	ERR1384078	Plate14.85
PRJEB13747	SAMEA3945406	ERS1132540	ERR1384079	Plate26.33
PRJEB13747	SAMEA3945996	ERS1133130	ERR1384080	Plate5.28
PRJEB13747	SAMEA3945214	ERS1132348	ERR1384081	Plate23.32
PRJEB13747	SAMEA3945588	ERS1132722	ERR1384082	Plate28.69
PRJEB13747	SAMEA3943638	ERS1130772	ERR1384083	Plate45.48
PRJEB13747	SAMEA3944531	ERS1131665	ERR1384084	Plate13.88
PRJEB13747	SAMEA3944894	ERS1132028	ERR1384085	Plate18.48
PRJEB13747	SAMEA3946210	ERS1133344	ERR1384086	Plate7.86
PRJEB13747	SAMEA3944809	ERS1131943	ERR1384087	Plate17.49
PRJEB13747	SAMEA3944265	ERS1131399	ERR1384088	Low1.5
PRJEB13747	SAMEA3943807	ERS1130941	ERR1384089	Plate37.52
PRJEB13747	SAMEA3944412	ERS1131546	ERR1384090	Plate10.66
PRJEB13747	SAMEA3945667	ERS1132801	ERR1384091	Plate29.44
PRJEB13747	SAMEA3945116	ERS1132250	ERR1384092	Plate21.43
PRJEB13747	SAMEA3944607	ERS1131741	ERR1384093	Plate14.58
PRJEB13747	SAMEA3945306	ERS1132440	ERR1384094	Plate24.28
PRJEB13747	SAMEA3945297	ERS1132431	ERR1384095	Plate24.19
PRJEB13747	SAMEA3945647	ERS1132781	ERR1384096	Plate29.16
PRJEB13747	SAMEA3943740	ERS1130874	ERR1384097	Plate47.9
PRJEB13747	SAMEA3944128	ERS1131262	ERR1384098	High1.22
PRJEB13747	SAMEA3944985	ERS1132119	ERR1384099	Plate20.35
PRJEB13747	SAMEA3945175	ERS1132309	ERR1384100	Plate23.84
PRJEB13747	SAMEA3944885	ERS1132019	ERR1384101	Plate18.30
PRJEB13747	SAMEA3944508	ERS1131642	ERR1384102	Plate13.78
PRJEB13747	SAMEA3944704	ERS1131838	ERR1384103	Plate15.6
PRJEB13747	SAMEA3944606	ERS1131740	ERR1384104	Plate14.96
PRJEB13747	SAMEA3945558	ERS1132692	ERR1384105	Plate28.25
PRJEB13747	SAMEA3944063	ERS1131197	ERR1384106	High1.58
PRJEB13747	SAMEA3944033	ERS1131167	ERR1384107	Plate43.24
PRJEB13747	SAMEA3944003	ERS1131137	ERR1384108	Plate41.17
PRJEB13747	SAMEA3944260	ERS1131394	ERR1384109	Low1.23
PRJEB13747	SAMEA3944778	ERS1131912	ERR1384110	Plate16.33
PRJEB13747	SAMEA3944878	ERS1132012	ERR1384111	Plate18.81
PRJEB13747	SAMEA3943132	ERS1130266	ERR1384112	Plate34.2.75
PRJEB13747	SAMEA3944663	ERS1131797	ERR1384113	Plate15.2
PRJEB13747	SAMEA3944785	ERS1131919	ERR1384114	Plate16.1
PRJEB13747	SAMEA3946151	ERS1133285	ERR1384115	Plate6.87
PRJEB13747	SAMEA3944647	ERS1131781	ERR1384116	Plate15.88
PRJEB13747	SAMEA3945702	ERS1132836	ERR1384117	Plate30.33
PRJEB13747	SAMEA3943131	ERS1130265	ERR1384118	Plate34.2.76
PRJEB13747	SAMEA3944832	ERS1131966	ERR1384119	Plate17.40
PRJEB13747	SAMEA3944735	ERS1131869	ERR1384120	Plate16.47
PRJEB13747	SAMEA3944391	ERS1131525	ERR1384121	Plate10.53
PRJEB13747	SAMEA3944643	ERS1131777	ERR1384122	Plate14.59
PRJEB13747	SAMEA3943471	ERS1130605	ERR1384123	Plate42.76
PRJEB13747	SAMEA3945410	ERS1132544	ERR1384124	Plate26.54
PRJEB13747	SAMEA3943333	ERS1130467	ERR1384125	Plate37.22
PRJEB13747	SAMEA3945019	ERS1132153	ERR1384126	Plate20.53
PRJEB13747	SAMEA3944752	ERS1131886	ERR1384127	Plate16.45
PRJEB13747	SAMEA3943493	ERS1130627	ERR1384128	Plate42.14
PRJEB13747	SAMEA3946286	ERS1133420	ERR1384129	Plate8.9
PRJEB13747	SAMEA3943569	ERS1130703	ERR1384130	Plate44.42
PRJEB13747	SAMEA3945563	ERS1132697	ERR1384131	Plate28.48
PRJEB13747	SAMEA3946274	ERS1133408	ERR1384132	Plate8.90
PRJEB13747	SAMEA3945687	ERS1132821	ERR1384133	Plate30.94
PRJEB13747	SAMEA3946285	ERS1133419	ERR1384134	Plate8.33
PRJEB13747	SAMEA3945709	ERS1132843	ERR1384135	Plate30.42
PRJEB13747	SAMEA3946313	ERS1133447	ERR1384136	Plate9.58
PRJEB13747	SAMEA3943626	ERS1130760	ERR1384137	Plate45.64
PRJEB13747	SAMEA3945985	ERS1133119	ERR1384138	Plate34.44
PRJEB13747	SAMEA3944047	ERS1131181	ERR1384139	Plate43.4
PRJEB13747	SAMEA3944684	ERS1131818	ERR1384140	Plate15.26
PRJEB13747	SAMEA3945539	ERS1132673	ERR1384141	Plate28.58
PRJEB13747	SAMEA3945461	ERS1132595	ERR1384142	Plate26.12
PRJEB13747	SAMEA3944250	ERS1131384	ERR1384143	Low1.61
PRJEB13747	SAMEA3946213	ERS1133347	ERR1384144	Plate7.29
PRJEB13747	SAMEA3945115	ERS1132249	ERR1384145	Plate21.36
PRJEB13747	SAMEA3944091	ERS1131225	ERR1384146	High1.72
PRJEB13747	SAMEA3945961	ERS1133095	ERR1384147	Plate34.7
PRJEB13747	SAMEA3943548	ERS1130682	ERR1384148	Plate44.22
PRJEB13747	SAMEA3943547	ERS1130681	ERR1384149	Plate44.52
PRJEB13747	SAMEA3944944	ERS1132078	ERR1384150	Plate19.51
PRJEB13747	SAMEA3945788	ERS1132922	ERR1384151	Plate31.54
PRJEB13747	SAMEA3945995	ERS1133129	ERR1384152	Plate5.33
PRJEB13747	SAMEA3946116	ERS1133250	ERR1384153	Plate6.5
PRJEB13747	SAMEA3946174	ERS1133308	ERR1384154	Plate7.18
PRJEB13747	SAMEA3945694	ERS1132828	ERR1384155	Plate30.26
PRJEB13747	SAMEA3943613	ERS1130747	ERR1384156	Plate45.9
PRJEB13747	SAMEA3943570	ERS1130704	ERR1384157	Plate44.60
PRJEB13747	SAMEA3943719	ERS1130853	ERR1384158	Plate46.20
PRJEB13747	SAMEA3944148	ERS1131282	ERR1384159	High2.46
PRJEB13747	SAMEA3944712	ERS1131846	ERR1384160	Plate15.89
PRJEB13747	SAMEA3943609	ERS1130743	ERR1384161	Plate45.21
PRJEB13747	SAMEA3943351	ERS1130485	ERR1384162	Plate37.33
PRJEB13747	SAMEA3945732	ERS1132866	ERR1384163	Plate30.9
PRJEB13747	SAMEA3945213	ERS1132347	ERR1384164	Plate23.53
PRJEB13747	SAMEA3943924	ERS1131058	ERR1384165	Plate39.39
PRJEB13747	SAMEA3944781	ERS1131915	ERR1384166	Plate16.66
PRJEB13747	SAMEA3944300	ERS1131434	ERR1384167	Low2.57
PRJEB13747	SAMEA3943959	ERS1131093	ERR1384168	Plate39.16
PRJEB13747	SAMEA3945772	ERS1132906	ERR1384169	Plate31.65
PRJEB13747	SAMEA3944666	ERS1131800	ERR1384170	Plate15.29
PRJEB13747	SAMEA3945843	ERS1132977	ERR1384171	Plate32.96
PRJEB13747	SAMEA3944274	ERS1131408	ERR1384172	Low2.48
PRJEB13747	SAMEA3945808	ERS1132942	ERR1384173	Plate31.64
PRJEB13747	SAMEA3943563	ERS1130697	ERR1384174	Plate44.27
PRJEB13747	SAMEA3944448	ERS1131582	ERR1384175	Plate11.41
PRJEB13747	SAMEA3945513	ERS1132647	ERR1384176	Plate27.32
PRJEB13747	SAMEA3944429	ERS1131563	ERR1384177	Plate11.26
PRJEB13747	SAMEA3943846	ERS1130980	ERR1384178	Plate38.52
PRJEB13747	SAMEA3944739	ERS1131873	ERR1384179	Plate16.65
PRJEB13747	SAMEA3945228	ERS1132362	ERR1384180	Plate23.33
PRJEB13747	SAMEA3943213	ERS1130347	ERR1384181	Plate35.3
PRJEB13747	SAMEA3945942	ERS1133076	ERR1384182	Plate33.64
PRJEB13747	SAMEA3943899	ERS1131033	ERR1384183	Plate39.57
PRJEB13747	SAMEA3945077	ERS1132211	ERR1384184	Plate21.48
PRJEB13747	SAMEA3943573	ERS1130707	ERR1384185	Plate44.32
PRJEB13747	SAMEA3943228	ERS1130362	ERR1384186	Plate35.60
PRJEB13747	SAMEA3946072	ERS1133206	ERR1384187	Plate6.3
PRJEB13747	SAMEA3944070	ERS1131204	ERR1384188	High1.38
PRJEB13747	SAMEA3944210	ERS1131344	ERR1384189	Low1.64
PRJEB13747	SAMEA3943434	ERS1130568	ERR1384190	Plate40.67
PRJEB13747	SAMEA3944998	ERS1132132	ERR1384191	Plate20.83
PRJEB13747	SAMEA3946160	ERS1133294	ERR1384192	Plate7.7
PRJEB13747	SAMEA3946018	ERS1133152	ERR1384193	Plate5.17
PRJEB13747	SAMEA3943362	ERS1130496	ERR1384194	Plate37.87
PRJEB13747	SAMEA3946384	ERS1133518	ERR1384195	PlateRedo1.93
PRJEB13747	SAMEA3943487	ERS1130621	ERR1384196	Plate42.18
PRJEB13747	SAMEA3946191	ERS1133325	ERR1384197	Plate7.76
PRJEB13747	SAMEA3945877	ERS1133011	ERR1384198	Plate32.81
PRJEB13747	SAMEA3944186	ERS1131320	ERR1384199	High2.88
PRJEB13747	SAMEA3943580	ERS1130714	ERR1384200	Plate45.8
PRJEB13747	SAMEA3944901	ERS1132035	ERR1384201	Plate18.40
PRJEB13747	SAMEA3946375	ERS1133509	ERR1384202	PlateRedo1.50
PRJEB13747	SAMEA3946304	ERS1133438	ERR1384203	Plate9.25
PRJEB13747	SAMEA3944234	ERS1131368	ERR1384204	Low1.2
PRJEB13747	SAMEA3943747	ERS1130881	ERR1384205	Plate47.23
PRJEB13747	SAMEA3945162	ERS1132296	ERR1384206	Plate22.71
PRJEB13747	SAMEA3946085	ERS1133219	ERR1384207	Plate6.80
PRJEB13747	SAMEA3944516	ERS1131650	ERR1384208	Plate13.77
PRJEB13747	SAMEA3944317	ERS1131451	ERR1384209	Low2.54
PRJEB13747	SAMEA3943756	ERS1130890	ERR1384210	Plate47.36
PRJEB13747	SAMEA3945247	ERS1132381	ERR1384211	Plate23.45
PRJEB13747	SAMEA3943252	ERS1130386	ERR1384212	Plate35.85
PRJEB13747	SAMEA3944085	ERS1131219	ERR1384213	High1.29
PRJEB13747	SAMEA3944143	ERS1131277	ERR1384214	High2.65
PRJEB13747	SAMEA3946080	ERS1133214	ERR1384215	Plate6.23
PRJEB13747	SAMEA3945255	ERS1132389	ERR1384216	Plate24.42
PRJEB13747	SAMEA3943208	ERS1130342	ERR1384217	Plate35.63
PRJEB13747	SAMEA3944015	ERS1131149	ERR1384218	Plate41.14
PRJEB13747	SAMEA3944220	ERS1131354	ERR1384219	Low1.83
PRJEB13747	SAMEA3945911	ERS1133045	ERR1384220	Plate33.13
PRJEB13747	SAMEA3944182	ERS1131316	ERR1384221	High2.14
PRJEB13747	SAMEA3943544	ERS1130678	ERR1384222	Plate44.6
PRJEB13747	SAMEA3943410	ERS1130544	ERR1384223	Plate40.56
PRJEB13747	SAMEA3944292	ERS1131426	ERR1384224	Low2.75
PRJEB13747	SAMEA3944562	ERS1131696	ERR1384225	Plate13.60
PRJEB13747	SAMEA3943390	ERS1130524	ERR1384226	Plate37.74
PRJEB13747	SAMEA3943658	ERS1130792	ERR1384227	Plate45.83
PRJEB13747	SAMEA3943624	ERS1130758	ERR1384228	Plate45.23
PRJEB13747	SAMEA3945254	ERS1132388	ERR1384229	Plate24.4
PRJEB13747	SAMEA3944842	ERS1131976	ERR1384230	Plate17.5
PRJEB13747	SAMEA3945628	ERS1132762	ERR1384231	Plate29.91
PRJEB13747	SAMEA3943376	ERS1130510	ERR1384232	Plate37.38
PRJEB13747	SAMEA3946023	ERS1133157	ERR1384233	Plate5.80
PRJEB13747	SAMEA3944678	ERS1131812	ERR1384234	Plate15.62
PRJEB13747	SAMEA3945202	ERS1132336	ERR1384235	Plate23.31
PRJEB13747	SAMEA3943964	ERS1131098	ERR1384236	Plate41.2
PRJEB13747	SAMEA3944402	ERS1131536	ERR1384237	Plate10.12
PRJEB13747	SAMEA3945908	ERS1133042	ERR1384238	Plate33.62
PRJEB13747	SAMEA3945088	ERS1132222	ERR1384239	Plate21.61
PRJEB13747	SAMEA3945691	ERS1132825	ERR1384240	Plate30.63
PRJEB13747	SAMEA3943873	ERS1131007	ERR1384241	Plate38.77
PRJEB13747	SAMEA3945606	ERS1132740	ERR1384242	Plate28.10
PRJEB13747	SAMEA3944686	ERS1131820	ERR1384243	Plate15.74
PRJEB13747	SAMEA3945136	ERS1132270	ERR1384244	Plate22.32
PRJEB13747	SAMEA3946027	ERS1133161	ERR1384245	Plate5.66
PRJEB13747	SAMEA3943196	ERS1130330	ERR1384246	Plate35.32
PRJEB13747	SAMEA3943117	ERS1130251	ERR1384247	Plate34.2.12
PRJEB13747	SAMEA3943416	ERS1130550	ERR1384248	Plate40.6
PRJEB13747	SAMEA3943802	ERS1130936	ERR1384249	Plate37.49
PRJEB13747	SAMEA3945478	ERS1132612	ERR1384250	Plate26.29
PRJEB13747	SAMEA3945630	ERS1132764	ERR1384251	Plate29.74
PRJEB13747	SAMEA3944298	ERS1131432	ERR1384252	Low2.33
PRJEB13747	SAMEA3945845	ERS1132979	ERR1384253	Plate32.21
PRJEB13747	SAMEA3944747	ERS1131881	ERR1384254	Plate16.16
PRJEB13747	SAMEA3945681	ERS1132815	ERR1384255	Plate29.22
PRJEB13747	SAMEA3944494	ERS1131628	ERR1384256	Plate12.68
PRJEB13747	SAMEA3946183	ERS1133317	ERR1384257	Plate7.90
PRJEB13747	SAMEA3944238	ERS1131372	ERR1384258	Low1.1
PRJEB13747	SAMEA3946115	ERS1133249	ERR1384259	Plate6.18
PRJEB13747	SAMEA3945216	ERS1132350	ERR1384260	Plate23.82
PRJEB13747	SAMEA3946245	ERS1133379	ERR1384261	Plate8.42
PRJEB13747	SAMEA3946242	ERS1133376	ERR1384262	Plate8.71
PRJEB13747	SAMEA3946299	ERS1133433	ERR1384263	Plate9.54
PRJEB13747	SAMEA3945900	ERS1133034	ERR1384264	Plate32.80
PRJEB13747	SAMEA3944014	ERS1131148	ERR1384265	Plate41.57
PRJEB13747	SAMEA3944701	ERS1131835	ERR1384266	Plate15.15
PRJEB13747	SAMEA3944877	ERS1132011	ERR1384267	Plate18.79
PRJEB13747	SAMEA3943810	ERS1130944	ERR1384268	Plate37.48
PRJEB13747	SAMEA3944533	ERS1131667	ERR1384269	Plate13.62
PRJEB13747	SAMEA3945530	ERS1132664	ERR1384270	Plate28.38
PRJEB13747	SAMEA3944339	ERS1131473	ERR1384271	Low2.10
PRJEB13747	SAMEA3944645	ERS1131779	ERR1384272	Plate15.54
PRJEB13747	SAMEA3943125	ERS1130259	ERR1384273	Plate34.2.56
PRJEB13747	SAMEA3943447	ERS1130581	ERR1384274	Plate40.77
PRJEB13747	SAMEA3945774	ERS1132908	ERR1384275	Plate31.17
PRJEB13747	SAMEA3944289	ERS1131423	ERR1384276	Low2.28
PRJEB13747	SAMEA3945560	ERS1132694	ERR1384277	Plate28.81
PRJEB13747	SAMEA3944434	ERS1131568	ERR1384278	Plate11.8
PRJEB13747	SAMEA3945566	ERS1132700	ERR1384279	Plate28.91
PRJEB13747	SAMEA3945666	ERS1132800	ERR1384280	Plate29.64
PRJEB13747	SAMEA3945862	ERS1132996	ERR1384281	Plate32.51
