study_accession	sample_accession	secondary_sample_accession	run_accession	sample_title
PRJEB13747	SAMEA3944957	ERS1132091	ERR1382423	Plate19.94
PRJEB13747	SAMEA3945265	ERS1132399	ERR1382424	Plate24.77
PRJEB13747	SAMEA3944248	ERS1131382	ERR1382425	Low1.82
PRJEB13747	SAMEA3945106	ERS1132240	ERR1382426	Plate21.5
PRJEB13747	SAMEA3943193	ERS1130327	ERR1382427	Plate35.15
PRJEB13747	SAMEA3943273	ERS1130407	ERR1382428	Plate36.48
PRJEB13747	SAMEA3943914	ERS1131048	ERR1382429	Plate39.23
PRJEB13747	SAMEA3945903	ERS1133037	ERR1382430	Plate33.26
PRJEB13747	SAMEA3944039	ERS1131173	ERR1382431	Plate43.5
PRJEB13747	SAMEA3944856	ERS1131990	ERR1382432	Plate18.23
PRJEB13747	SAMEA3943332	ERS1130466	ERR1382433	Plate37.76
PRJEB13747	SAMEA3943668	ERS1130802	ERR1382434	Plate46.23
PRJEB13747	SAMEA3945373	ERS1132507	ERR1382435	Plate25.82
PRJEB13747	SAMEA3944749	ERS1131883	ERR1382436	Plate16.30
PRJEB13747	SAMEA3943475	ERS1130609	ERR1382437	Plate42.68
PRJEB13747	SAMEA3945550	ERS1132684	ERR1382438	Plate28.43
PRJEB13747	SAMEA3943617	ERS1130751	ERR1382439	Plate45.26
PRJEB13747	SAMEA3945170	ERS1132304	ERR1382440	Plate23.83
PRJEB13747	SAMEA3944601	ERS1131735	ERR1382441	Plate14.8
PRJEB13747	SAMEA3943297	ERS1130431	ERR1382442	Plate36.9
PRJEB13747	SAMEA3943597	ERS1130731	ERR1382443	Plate45.29
PRJEB13747	SAMEA3943521	ERS1130655	ERR1382444	Plate42.9
PRJEB13747	SAMEA3944740	ERS1131874	ERR1382445	Plate16.11
PRJEB13747	SAMEA3943484	ERS1130618	ERR1382446	Plate42.11
PRJEB13747	SAMEA3943862	ERS1130996	ERR1382447	Plate38.31
PRJEB13747	SAMEA3944610	ERS1131744	ERR1382448	Plate14.27
PRJEB13747	SAMEA3944792	ERS1131926	ERR1382449	Plate17.62
PRJEB13747	SAMEA3946296	ERS1133430	ERR1382450	Plate9.28
PRJEB13747	SAMEA3946363	ERS1133497	ERR1382451	PlateRedo1.91
PRJEB13747	SAMEA3943312	ERS1130446	ERR1382452	Plate36.16
PRJEB13747	SAMEA3944598	ERS1131732	ERR1382453	Plate14.78
PRJEB13747	SAMEA3946328	ERS1133462	ERR1382454	Plate9.49
PRJEB13747	SAMEA3944017	ERS1131151	ERR1382455	Plate41.10
PRJEB13747	SAMEA3943176	ERS1130310	ERR1382456	Plate34.2.33
PRJEB13747	SAMEA3945415	ERS1132549	ERR1382457	Plate26.88
PRJEB13747	SAMEA3945257	ERS1132391	ERR1382458	Plate24.9
PRJEB13747	SAMEA3946268	ERS1133402	ERR1382459	Plate8.1
PRJEB13747	SAMEA3943911	ERS1131045	ERR1382460	Plate39.19
PRJEB13747	SAMEA3943522	ERS1130656	ERR1382461	Plate42.35
PRJEB13747	SAMEA3943687	ERS1130821	ERR1382462	Plate46.42
PRJEB13747	SAMEA3945473	ERS1132607	ERR1382463	Plate26.85
PRJEB13747	SAMEA3943178	ERS1130312	ERR1382464	Plate34.2.30
PRJEB13747	SAMEA3943618	ERS1130752	ERR1382465	Plate45.27
PRJEB13747	SAMEA3944794	ERS1131928	ERR1382466	Plate17.20
PRJEB13747	SAMEA3944922	ERS1132056	ERR1382467	Plate18.2
PRJEB13747	SAMEA3943126	ERS1130260	ERR1382468	Plate34.2.54
PRJEB13747	SAMEA3944821	ERS1131955	ERR1382469	Plate17.42
PRJEB13747	SAMEA3945467	ERS1132601	ERR1382470	Plate26.91
PRJEB13747	SAMEA3944866	ERS1132000	ERR1382471	Plate18.31
PRJEB13747	SAMEA3945653	ERS1132787	ERR1382472	Plate29.32
PRJEB13747	SAMEA3944870	ERS1132004	ERR1382473	Plate18.77
PRJEB13747	SAMEA3943519	ERS1130653	ERR1382474	Plate42.23
PRJEB13747	SAMEA3943221	ERS1130355	ERR1382475	Plate35.76
PRJEB13747	SAMEA3946342	ERS1133476	ERR1382476	Plate9.71
PRJEB13747	SAMEA3945783	ERS1132917	ERR1382477	Plate31.61
PRJEB13747	SAMEA3945483	ERS1132617	ERR1382478	Plate27.25
PRJEB13747	SAMEA3943154	ERS1130288	ERR1382479	Plate34.2.26
PRJEB13747	SAMEA3945428	ERS1132562	ERR1382480	Plate26.49
PRJEB13747	SAMEA3944547	ERS1131681	ERR1382481	Plate13.11
PRJEB13747	SAMEA3943250	ERS1130384	ERR1382482	Plate35.19
PRJEB13747	SAMEA3945654	ERS1132788	ERR1382483	Plate29.61
PRJEB13747	SAMEA3944323	ERS1131457	ERR1382484	Low2.32
PRJEB13747	SAMEA3944345	ERS1131479	ERR1382485	Low2.71
PRJEB13747	SAMEA3946172	ERS1133306	ERR1382486	Plate7.58
PRJEB13747	SAMEA3945448	ERS1132582	ERR1382487	Plate26.15
PRJEB13747	SAMEA3946280	ERS1133414	ERR1382488	Plate8.28
PRJEB13747	SAMEA3944107	ERS1131241	ERR1382489	High1.80
PRJEB13747	SAMEA3943903	ERS1131037	ERR1382490	Plate39.33
PRJEB13747	SAMEA3946108	ERS1133242	ERR1382491	Plate6.28
PRJEB13747	SAMEA3943517	ERS1130651	ERR1382492	Plate42.75
PRJEB13747	SAMEA3944805	ERS1131939	ERR1382493	Plate17.44
PRJEB13747	SAMEA3945524	ERS1132658	ERR1382494	Plate28.1
PRJEB13747	SAMEA3945387	ERS1132521	ERR1382495	Plate25.89
PRJEB13747	SAMEA3945870	ERS1133004	ERR1382496	Plate32.9
PRJEB13747	SAMEA3945831	ERS1132965	ERR1382497	Plate31.68
PRJEB13747	SAMEA3943674	ERS1130808	ERR1382498	Plate46.64
PRJEB13747	SAMEA3943412	ERS1130546	ERR1382499	Plate40.80
PRJEB13747	SAMEA3945021	ERS1132155	ERR1382500	Plate20.56
PRJEB13747	SAMEA3943313	ERS1130447	ERR1382501	Plate36.51
PRJEB13747	SAMEA3943831	ERS1130965	ERR1382502	Plate38.19
PRJEB13747	SAMEA3945867	ERS1133001	ERR1382503	Plate32.66
PRJEB13747	SAMEA3944242	ERS1131376	ERR1382504	Low1.12
PRJEB13747	SAMEA3945538	ERS1132672	ERR1382505	Plate28.59
PRJEB13747	SAMEA3945438	ERS1132572	ERR1382506	Plate26.48
PRJEB13747	SAMEA3943373	ERS1130507	ERR1382507	Plate37.7
PRJEB13747	SAMEA3944150	ERS1131284	ERR1382508	High2.72
PRJEB13747	SAMEA3943451	ERS1130585	ERR1382509	Plate40.8
PRJEB13747	SAMEA3946011	ERS1133145	ERR1382510	Plate5.19
PRJEB13747	SAMEA3944679	ERS1131813	ERR1382511	Plate15.7
PRJEB13747	SAMEA3945803	ERS1132937	ERR1382512	Plate31.72
PRJEB13747	SAMEA3944379	ERS1131513	ERR1382513	Plate10.68
PRJEB13747	SAMEA3944761	ERS1131895	ERR1382514	Plate16.56
PRJEB13747	SAMEA3945604	ERS1132738	ERR1382515	Plate28.17
PRJEB13747	SAMEA3945374	ERS1132508	ERR1382516	Plate25.83
PRJEB13747	SAMEA3945827	ERS1132961	ERR1382517	Plate31.84
PRJEB13747	SAMEA3944331	ERS1131465	ERR1382518	Low2.59
PRJEB13747	SAMEA3945822	ERS1132956	ERR1382519	Plate31.46
PRJEB13747	SAMEA3945236	ERS1132370	ERR1382520	Plate23.88
PRJEB13747	SAMEA3943291	ERS1130425	ERR1382521	Plate36.86
PRJEB13747	SAMEA3943395	ERS1130529	ERR1382522	Plate37.79
PRJEB13747	SAMEA3943431	ERS1130565	ERR1382523	Plate40.19
PRJEB13747	SAMEA3943922	ERS1131056	ERR1382524	Plate39.36
PRJEB13747	SAMEA3945328	ERS1132462	ERR1382525	Plate25.26
PRJEB13747	SAMEA3945722	ERS1132856	ERR1382526	Plate30.51
PRJEB13747	SAMEA3943579	ERS1130713	ERR1382527	Plate44.51
PRJEB13747	SAMEA3943880	ERS1131014	ERR1382528	Plate38.49
PRJEB13747	SAMEA3946287	ERS1133421	ERR1382529	Plate8.15
PRJEB13747	SAMEA3943472	ERS1130606	ERR1382530	Plate42.77
